"","ID","ADM0_NAME","ADM0_CODE","Admin1","ADM1_CODE","ADM2_NAME","ADM2_CODE","year","age_group_id","age_group_name","sex_id","sex","measure_id","measure","mean","lower","upper"
"202","Mali_San","Mali",146,"Ségou",7146,"San",5007146,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0554584450154818,0.0929023127387877
"203","South Sudan_Malut","South Sudan",206,"Upper Nile",7206,"Malut",5007206,2017,28,"Infant",3,"Both",27,"Probability of death",0.074,0.0524344812867778,0.10414968335689
"204","Burkina Faso_Tapoa","Burkina Faso",22,"Est",8022,"Tapoa",5008022,2017,28,"Infant",3,"Both",27,"Probability of death",0.08,0.05896292273506,0.101481149868518
"205","Mali_Sikasso","Mali",146,"Sikasso",8146,"Sikasso",5008146,2017,28,"Infant",3,"Both",27,"Probability of death",0.072,0.0565447772250538,0.0932644776693026
"206","Somalia_Xarardheere","Somalia",203,"Mudug",11203,"Xarardheere",5011203,2017,28,"Infant",3,"Both",27,"Probability of death",0.075,0.0410613674680375,0.12270583606662
"207","Central African Republic_Kouango","Central African Republic",39,"Ouaka",13039,"Kouango",5013039,2017,28,"Infant",3,"Both",27,"Probability of death",0.088,0.0603984103878849,0.126628719720294
"208","Central African Republic_Markounda","Central African Republic",39,"Ouham",15039,"Markounda",5015039,2017,28,"Infant",3,"Both",27,"Probability of death",0.082,0.0544725648279515,0.114648754489854
"209","Democratic Republic of the Congo_Lubudi","Democratic Republic of the Congo",47,"Lualaba",15047,"Lubudi",5015047,2017,28,"Infant",3,"Both",27,"Probability of death",0.075,0.052978270052936,0.102056730607706
"210","Somalia_Qoryooley","Somalia",203,"Shabeellaha Hoose",15203,"Qoryooley",5015203,2017,28,"Infant",3,"Both",27,"Probability of death",0.082,0.0518452426205822,0.133886678053655
"211","Nigeria_Buji","Nigeria",164,"Jigawa",18164,"Buji",5018164,2017,28,"Infant",3,"Both",27,"Probability of death",0.095,0.0754623624770481,0.115667644709494
"212","Nigeria_Ikara","Nigeria",164,"Kaduna",19164,"Ikara",5019164,2017,28,"Infant",3,"Both",27,"Probability of death",0.093,0.0756471647204106,0.114177660090743
"213","Democratic Republic of the Congo_Mobayi-Mbongo (ville)","Democratic Republic of the Congo",47,"Nord-Ubangi",20047,"Mobayi-Mbongo (ville)",5020047,2017,28,"Infant",3,"Both",27,"Probability of death",0.071,0.0512365969323925,0.100820645097121
"214","Nigeria_Bichi","Nigeria",164,"Kano",20164,"Bichi",5020164,2017,28,"Infant",3,"Both",27,"Probability of death",0.089,0.0707085918888846,0.110954132368055
"215","Democratic Republic of the Congo_Lodja (ville)","Democratic Republic of the Congo",47,"Sankuru",21047,"Lodja (ville)",5021047,2017,28,"Infant",3,"Both",27,"Probability of death",0.075,0.048618889464526,0.106966630594292
"216","Nigeria_Bindawa","Nigeria",164,"Katsina",21164,"Bindawa",5021164,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0581359887987315,0.0908820775582919
"217","Nigeria_Bagudo","Nigeria",164,"Kebbi",22164,"Bagudo",5022164,2017,28,"Infant",3,"Both",27,"Probability of death",0.08,0.0633558282919088,0.0973251335612673
"218","Nigeria_Keana","Nigeria",164,"Nassarawa",26164,"Keana",5026164,2017,28,"Infant",3,"Both",27,"Probability of death",0.072,0.0546693890269371,0.0911884825258967
"219","Nigeria_Goronyo","Nigeria",164,"Sokoto",34164,"Goronyo",5034164,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0567349751744742,0.0904960124724586
"220","Nigeria_Bungudu","Nigeria",164,"Zamfara",37164,"Bungudu",5037164,2017,28,"Infant",3,"Both",27,"Probability of death",0.101,0.0814544469804772,0.124935824365096
"221","Mali_Nioro","Mali",146,"Kayes",3146,"Nioro",6003146,2017,28,"Infant",3,"Both",27,"Probability of death",0.074,0.0572761708523742,0.0926722253023845
"222","Democratic Republic of the Congo_Niangara","Democratic Republic of the Congo",47,"Haut-Uélé",5047,"Niangara",6005047,2017,28,"Infant",3,"Both",27,"Probability of death",0.072,0.0450727519933215,0.103831667559128
"223","Nigeria_Dass","Nigeria",164,"Bauchi",5164,"Dass",6005164,2017,28,"Infant",3,"Both",27,"Probability of death",0.079,0.0616825674061863,0.0969881365250854
"224","Mali_Ségou","Mali",146,"Ségou",7146,"Ségou",6007146,2017,28,"Infant",3,"Both",27,"Probability of death",0.085,0.066384467442933,0.10727710705493
"225","Mali_Yanfolila","Mali",146,"Sikasso",8146,"Yanfolila",6008146,2017,28,"Infant",3,"Both",27,"Probability of death",0.077,0.058982072716783,0.0955098291092373
"226","Somalia_Sablale","Somalia",203,"Shabeellaha Hoose",15203,"Sablale",6015203,2017,28,"Infant",3,"Both",27,"Probability of death",0.081,0.0498224268922293,0.127299637601211
"227","Nigeria_Dutse","Nigeria",164,"Jigawa",18164,"Dutse",6018164,2017,28,"Infant",3,"Both",27,"Probability of death",0.09,0.0729690661675215,0.108420043174524
"228","Nigeria_Bunkure","Nigeria",164,"Kano",20164,"Bunkure",6020164,2017,28,"Infant",3,"Both",27,"Probability of death",0.101,0.0824870971346809,0.12276478682162
"229","Nigeria_Charanchi","Nigeria",164,"Katsina",21164,"Charanchi",6021164,2017,28,"Infant",3,"Both",27,"Probability of death",0.081,0.0642000357344598,0.100000720644901
"230","Nigeria_Gudu","Nigeria",164,"Sokoto",34164,"Gudu",6034164,2017,28,"Infant",3,"Both",27,"Probability of death",0.075,0.0578391878023385,0.0919259183839175
"231","Nigeria_Ibi","Nigeria",164,"Taraba",35164,"Ibi",6035164,2017,28,"Infant",3,"Both",27,"Probability of death",0.072,0.0559028200208673,0.0900496367331887
"232","Nigeria_Gummi","Nigeria",164,"Zamfara",37164,"Gummi",6037164,2017,28,"Infant",3,"Both",27,"Probability of death",0.087,0.071420853935346,0.105686859102299
"233","Mali_Yélimané","Mali",146,"Kayes",3146,"Yélimané",7003146,2017,28,"Infant",3,"Both",27,"Probability of death",0.071,0.0566809584526656,0.0899431254611041
"234","Mali_Nara","Mali",146,"Koulikoro",5146,"Nara",7005146,2017,28,"Infant",3,"Both",27,"Probability of death",0.075,0.05690319354427,0.0933343979031422
"235","Nigeria_Gamawa","Nigeria",164,"Bauchi",5164,"Gamawa",7005164,2017,28,"Infant",3,"Both",27,"Probability of death",0.072,0.0532743653604236,0.0919688466106489
"236","Mali_Ténenkou","Mali",146,"Mopti",6146,"Ténenkou",7006146,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0553783240730416,0.0948854904048604
"237","Nigeria_Gagarawa","Nigeria",164,"Jigawa",18164,"Gagarawa",7018164,2017,28,"Infant",3,"Both",27,"Probability of death",0.089,0.0705038382243392,0.106982328458751
"238","Nigeria_Dala","Nigeria",164,"Kano",20164,"Dala",7020164,2017,28,"Infant",3,"Both",27,"Probability of death",0.076,0.0603120784762312,0.0950514876754219
"239","Nigeria_Dandume","Nigeria",164,"Katsina",21164,"Dandume",7021164,2017,28,"Infant",3,"Both",27,"Probability of death",0.078,0.062014835477894,0.0972698153998438
"240","Nigeria_Bunza","Nigeria",164,"Kebbi",22164,"Bunza",7022164,2017,28,"Infant",3,"Both",27,"Probability of death",0.076,0.0611082280342681,0.0911953649488238
"241","Nigeria_Kokona","Nigeria",164,"Nassarawa",26164,"Kokona",7026164,2017,28,"Infant",3,"Both",27,"Probability of death",0.075,0.0599184801614702,0.0925945962704679
"242","Nigeria_Kanam","Nigeria",164,"Plateau",32164,"Kanam",7032164,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0570082992630042,0.0926266751945732
"243","Nigeria_Gwadabaw","Nigeria",164,"Sokoto",34164,"Gwadabaw",7034164,2017,28,"Infant",3,"Both",27,"Probability of death",0.073,0.0567386069855085,0.0895097768235656
